Περιφέρεια,Διεύθυνση,Ονομασία,Κατηγορία Μοριοδότησης,Κωδ. ΥΠΠΘ
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΘΡΗΣΚΕΥΜΑΤΩΝ,ΔΙΕΥΘΥΝΣΗ ΘΡΗΣΚΕΥΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΓΕΝΙΚΟ ΕΚΚΛΗΣΙΑΣΤΙΚΟ ΛΥΚΕΙΟ ΒΕΛΛΑΣ ΙΩΑΝΝΙΝΩΝ,Ε,2070100
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΘΡΗΣΚΕΥΜΑΤΩΝ,ΔΙΕΥΘΥΝΣΗ ΘΡΗΣΚΕΥΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΓΕΝΙΚΟ ΕΚΚΛΗΣΙΑΣΤΙΚΟ ΛΥΚΕΙΟ-ΓΥΜΝΑΣΙΟ ΦΛΩΡΙΝΑΣ,Δ,4770100
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΘΡΗΣΚΕΥΜΑΤΩΝ,ΔΙΕΥΘΥΝΣΗ ΘΡΗΣΚΕΥΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΕΚΚΛΗΣΙΑΣΤΙΚΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΠΑΤΡΩΝ,Α,670100
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΘΡΗΣΚΕΥΜΑΤΩΝ,ΔΙΕΥΘΥΝΣΗ ΘΡΗΣΚΕΥΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΓΕΝΙΚΟ ΕΚΚΛΗΣΙΑΣΤΙΚΟ ΛΥΚΕΙΟ - ΕΚΚΛΗΣΙΑΣΤΙΚΟ ΓΥΜΝΑΣΙΟ ΞΑΝΘΗΣ,Γ,3770100
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΘΡΗΣΚΕΥΜΑΤΩΝ,ΔΙΕΥΘΥΝΣΗ ΘΡΗΣΚΕΥΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΓΕΝΙΚΟ ΕΚΚΛΗΣΙΑΣΤΙΚΟ ΛΥΚΕΙΟ-ΓΥΜΝΑΣΙΟ ΤΗΣ ΠΑΤΜΙΑΔΟΣ ΕΚΚΛΗΣΙΑΣΤΙΚΗΣ ΣΧΟΛΗΣ,Ι,1070100
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΘΡΗΣΚΕΥΜΑΤΩΝ,ΔΙΕΥΘΥΝΣΗ ΘΡΗΣΚΕΥΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΓΕΝΙΚΟ ΕΚΚΛΗΣΙΑΣΤΙΚΟ ΛΥΚΕΙΟ ΡΙΖΑΡΕΙΟΥ ΣΧΟΛΗΣ,Α,570100
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΘΡΗΣΚΕΥΜΑΤΩΝ,ΔΙΕΥΘΥΝΣΗ ΘΡΗΣΚΕΥΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΓΕΝΙΚΟ ΕΚΚΛΗΣΙΑΣΤΙΚΟ ΛΥΚΕΙΟ-ΓΥΜΝΑΣΙΟ ΑΘΩΝΙΑΔΟΣ ΕΚΚΛΗΣΙΑΣΤΙΚΗΣ ΑΚΑΔΗΜΙΑΣ,Ι,4970100
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΘΡΗΣΚΕΥΜΑΤΩΝ,ΔΙΕΥΘΥΝΣΗ ΘΡΗΣΚΕΥΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΠΑΤΡΙΑΡΧΙΚΗ ΕΚΚΛΗΣΙΑΣΤΙΚΗ ΣΧΟΛΗ ΚΡΗΤΗΣ/ ΓΕΝΙΚΟ ΕΚΚΛΗΣΙΑΣΤΙΚΟ ΛΥΚΕΙΟ-ΓΥΜΝΑΣΙΟ ΧΑΝΙΩΝ,Α,5070100
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΘΡΗΣΚΕΥΜΑΤΩΝ,ΔΙΕΥΘΥΝΣΗ ΘΡΗΣΚΕΥΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΓΕΝΙΚΟ ΕΚΚΛΗΣΙΑΣΤΙΚΟ ΛΥΚΕΙΟ-ΓΥΜΝΑΣΙΟ ΝΕΑΠΟΛΗΣ,Α,1970100
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΘΡΗΣΚΕΥΜΑΤΩΝ,ΔΙΕΥΘΥΝΣΗ ΘΡΗΣΚΕΥΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,ΓΕΝΙΚΟ ΕΚΚΛΗΣΙΑΣΤΙΚΟ ΛΥΚΕΙΟ- ΓΥΜΝΑΣΙΟ ΛΑΜΙΑΣ,Α,4670100
