Περιφέρεια,Διεύθυνση,Κατηγορία Μοριοδότησης,Δήμος,Κωδ. ΥΠΠΘ,Ονομασία,dde_dpe_Κωδ. ΥΠΠΘ,pde_Κωδ. ΥΠΠΘ
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΘΡΗΣΚΕΥΜΑΤΩΝ,ΔΙΕΥΘΥΝΣΗ ΘΡΗΣΚΕΥΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Α,ΧΑΛΑΝΔΡΙΟΥ,0570100,ΓΕΝΙΚΟ ΕΚΚΛΗΣΙΑΣΤΙΚΟ ΛΥΚΕΙΟ ΡΙΖΑΡΕΙΟΥ ΣΧΟΛΗΣ,diekek,gendith
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΘΡΗΣΚΕΥΜΑΤΩΝ,ΔΙΕΥΘΥΝΣΗ ΘΡΗΣΚΕΥΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Α,ΠΑΤΡΕΩΝ,0670100,ΕΚΚΛΗΣΙΑΣΤΙΚΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ ΠΑΤΡΩΝ,diekek,gendith
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΘΡΗΣΚΕΥΜΑΤΩΝ,ΔΙΕΥΘΥΝΣΗ ΘΡΗΣΚΕΥΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Ι,ΠΑΤΜΟΥ,1070100,ΓΕΝΙΚΟ ΕΚΚΛΗΣΙΑΣΤΙΚΟ ΛΥΚΕΙΟ-ΓΥΜΝΑΣΙΟ ΤΗΣ ΠΑΤΜΙΑΔΟΣ ΕΚΚΛΗΣΙΑΣΤΙΚΗΣ ΣΧΟΛΗΣ,diekek,gendith
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΘΡΗΣΚΕΥΜΑΤΩΝ,ΔΙΕΥΘΥΝΣΗ ΘΡΗΣΚΕΥΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Α,ΝΕΑΠΟΛΗΣ-ΣΥΚΕΩΝ,1970100,ΓΕΝΙΚΟ ΕΚΚΛΗΣΙΑΣΤΙΚΟ ΛΥΚΕΙΟ-ΓΥΜΝΑΣΙΟ ΝΕΑΠΟΛΗΣ,diekek,gendith
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΘΡΗΣΚΕΥΜΑΤΩΝ,ΔΙΕΥΘΥΝΣΗ ΘΡΗΣΚΕΥΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Ε,ΠΩΓΩΝΙΟΥ,2070100,ΓΕΝΙΚΟ ΕΚΚΛΗΣΙΑΣΤΙΚΟ ΛΥΚΕΙΟ ΒΕΛΛΑΣ ΙΩΑΝΝΙΝΩΝ,diekek,gendith
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΘΡΗΣΚΕΥΜΑΤΩΝ,ΔΙΕΥΘΥΝΣΗ ΘΡΗΣΚΕΥΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Γ,ΞΑΝΘΗΣ,3770100,ΓΕΝΙΚΟ ΕΚΚΛΗΣΙΑΣΤΙΚΟ ΛΥΚΕΙΟ - ΕΚΚΛΗΣΙΑΣΤΙΚΟ ΓΥΜΝΑΣΙΟ ΞΑΝΘΗΣ,diekek,gendith
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΘΡΗΣΚΕΥΜΑΤΩΝ,ΔΙΕΥΘΥΝΣΗ ΘΡΗΣΚΕΥΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Α,ΛΑΜΙΕΩΝ,4670100,ΓΕΝΙΚΟ ΕΚΚΛΗΣΙΑΣΤΙΚΟ ΛΥΚΕΙΟ- ΓΥΜΝΑΣΙΟ ΛΑΜΙΑΣ,diekek,gendith
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΘΡΗΣΚΕΥΜΑΤΩΝ,ΔΙΕΥΘΥΝΣΗ ΘΡΗΣΚΕΥΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Δ,ΦΛΩΡΙΝΑΣ,4770100,ΓΕΝΙΚΟ ΕΚΚΛΗΣΙΑΣΤΙΚΟ ΛΥΚΕΙΟ-ΓΥΜΝΑΣΙΟ ΦΛΩΡΙΝΑΣ,diekek,gendith
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΘΡΗΣΚΕΥΜΑΤΩΝ,ΔΙΕΥΘΥΝΣΗ ΘΡΗΣΚΕΥΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Ι,ΠΟΛΥΓΥΡΟΥ,4970100,ΓΕΝΙΚΟ ΕΚΚΛΗΣΙΑΣΤΙΚΟ ΛΥΚΕΙΟ-ΓΥΜΝΑΣΙΟ ΑΘΩΝΙΑΔΟΣ ΕΚΚΛΗΣΙΑΣΤΙΚΗΣ ΑΚΑΔΗΜΙΑΣ,diekek,gendith
ΓΕΝΙΚΗ ΓΡΑΜΜΑΤΕΙΑ ΘΡΗΣΚΕΥΜΑΤΩΝ,ΔΙΕΥΘΥΝΣΗ ΘΡΗΣΚΕΥΤΙΚΗΣ ΕΚΠΑΙΔΕΥΣΗΣ,Α,ΧΑΝΙΩΝ,5070100,ΠΑΤΡΙΑΡΧΙΚΗ ΕΚΚΛΗΣΙΑΣΤΙΚΗ ΣΧΟΛΗ ΚΡΗΤΗΣ/ ΓΕΝΙΚΟ ΕΚΚΛΗΣΙΑΣΤΙΚΟ ΛΥΚΕΙΟ-ΓΥΜΝΑΣΙΟ ΧΑΝΙΩΝ,diekek,gendith
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,Β,ΔΡΑΜΑΣ,0901010,1ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΔΡΑΜΑΣ,0900115,9999908
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,Β,ΔΡΑΜΑΣ,0901020,2ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΔΡΑΜΑΣ,0900115,9999908
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,Β,ΔΡΑΜΑΣ,0901030,3ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΔΡΑΜΑΣ,0900115,9999908
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,Β,ΔΡΑΜΑΣ,0901037,4ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΔΡΑΜΑΣ,0900115,9999908
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,Β,ΔΡΑΜΑΣ,0901038,5ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΔΡΑΜΑΣ,0900115,9999908
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,Β,ΔΡΑΜΑΣ,0901039,6ο ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΔΡΑΜΑΣ,0900115,9999908
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,Δ,ΔΟΞΑΤΟΥ,0901040,ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟΥ ΔΟΞΑΤΟΥ,0900115,9999908
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,Δ,ΔΟΞΑΤΟΥ,0901060,ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΑΓΙΟΥ ΑΘΑΝΑΣΙΟΥ ΔΡΑΜΑΣ,0900115,9999908
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,Β,ΔΡΑΜΑΣ,0901065,ΜΟΥΣΙΚΟ ΣΧΟΛΕΙΟ ΔΡΑΜΑΣ (ΜΟΥΣΙΚΟ ΓΥΜΝΑΣΙΟ-ΜΟΥΣΙΚΟ ΓΕΝΙΚΟ ΛΥΚΕΙΟ),0900115,9999908
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,Β,ΔΡΑΜΑΣ,0901066,ΕΣΠΕΡΙΝΟ ΓΥΜΝΑΣΙΟ ΔΡΑΜΑΣ,0900115,9999908
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,Θ,ΠΑΡΑΝΕΣΤΙΟΥ,0902010,ΓΥΜΝΑΣΙΟ ΜΕ ΛΥΚΕΙΑΚΕΣ ΤΑΞΕΙΣ ΠΑΡΑΝΕΣΤΙΟΥ ΔΡΑΜΑΣ,0900115,9999908
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,Θ,ΚΑΤΩ ΝΕΥΡΟΚΟΠΙΟΥ,0903010,ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΑΤΩ ΝΕΥΡΟΚΟΠΙ ΔΡΑΜΑΣ - ΓΥΜΝΑΣΙΟ Κ. ΝΕΥΡΟΚΟΠΙΟΥ,0900115,9999908
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,Ε,ΠΡΟΣΟΤΣΑΝΗΣ,0904010,ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΠΡΟΣΟΤΣΑΝΗΣ ΔΡΑΜΑΣ,0900115,9999908
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,ΣΤ,ΔΟΞΑΤΟΥ,0905010,ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΥΡΓΙΩΝ ΔΡΑΜΑΣ,0900115,9999908
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,Δ,ΔΟΞΑΤΟΥ,0906010,ΗΜΕΡΗΣΙΟ ΓΥΜΝΑΣΙΟ ΚΑΛΑΜΠΑΚΙOY ΔΡΑΜΑΣ,0900115,9999908
ΠΕΡΙΦΕΡΕΙΑΚΗ Δ/ΝΣΗ Α/ΘΜΙΑΣ ΚΑΙ Β/ΘΜΙΑΣ ΕΚΠ/ΣΗΣ ΑΝ. ΜΑΚΕΔΟΝΙΑΣ ΚΑΙ ΘΡΑΚΗΣ,ΔΙΕΥΘΥΝΣΗ Δ.Ε. ΔΡΑΜΑΣ,ΣΤ,ΠΑΡΑΝΕΣΤΙΟΥ,0907010,ΓΥΜΝΑΣΙΟ (Λ.Τ.)  ΝΙΚΗΦΟΡΟΥ,0900115,9999908
